X,Y,OCC_YEAR,OCC_MONTH,HOOD_158,NEIGHBOURHOOD_158
-79.3928506,43.6850197800001,2004,January,98,Rosedale-Moore Park
-79.23388715,43.78174054,2004,January,142,Woburn North
-79.2068937399999,43.8108493300001,2004,January,146,Malvern East
-79.4343959,43.67046556,2004,January,171,Junction-Wallace Emerson
-79.2038623299999,43.82353541,2004,January,144,Morningside Heights
-79.50863063,43.72090918,2004,February,154,Oakdale-Beverley Heights
-79.50863063,43.72090918,2004,February,154,Oakdale-Beverley Heights
-79.50897606,43.72235792,2004,February,154,Oakdale-Beverley Heights
-79.5928637499999,43.7431067700001,2004,February,2,Mount Olive-Silverstone-Jamestown
-79.2275971999999,43.8162598100001,2004,March,144,Morningside Heights
-79.2665028599999,43.80802063,2004,March,129,Agincourt North
-79.3293371299999,43.6973764300001,2004,March,58,Old East York
-79.28672612,43.7000781900001,2004,March,120,Clairlea-Birchmount
-79.24251743,43.76707544,2004,March,142,Woburn North
-79.42748485,43.7097323900001,2004,March,39,Bedford Park-Nortown
-79.22532108,43.75981655,2004,March,141,Golfdale-Cedarbrae-Woburn
-79.37135298,43.6590671600001,2004,April,73,Moss Park
-79.5505613299999,43.7250906900001,2004,April,5,Elms-Old Rexdale
-79.5792837499999,43.7352348900001,2004,May,2,Mount Olive-Silverstone-Jamestown
-79.51875893,43.76915718,2004,May,24,Black Creek
-79.54413998,43.59430558,2004,May,20,Alderwood
-79.45703965,43.7101585500001,2004,May,31,Yorkdale-Glen Park
-79.36299801,43.66008107,2004,May,72,Regent Park
-79.57908532,43.73713165,2004,May,3,Thistletown-Beaumond Heights
-79.47898028,43.71406783,2004,May,29,Maple Leaf
-79.43797411,43.642272,2004,May,86,Roncesvalles
-79.37445106,43.6601961800001,2004,June,73,Moss Park
-79.42812551,43.6359750600001,2004,June,85,South Parkdale
-79.36900509,43.65461429,2004,June,73,Moss Park
-79.5351766799999,43.7111969600001,2004,June,23,Pelmo Park-Humberlea
-79.52266531,43.77213497,2004,July,24,Black Creek
-79.27579757,43.6995344600001,2004,July,121,Oakridge
-79.4852473299999,43.63014616,2004,July,16,Stonegate-Queensway
-79.50534135,43.70840838,2004,July,28,Rustic
-79.41266712,43.7683879000001,2004,July,151,Yonge-Doris
