X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-85.488743885,0.0,1,GO-20141260973,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,4,2014,January,1,1,Wednesday ,4,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,NSA,NSA,NSA,NSA,-85.4887438847069,0
-79.259169846,43.778438027,2,GO-20141264862,2014/01/01 05:00:00+00,2014/01/01 05:00:00+00,2014,January,1,1,Wednesday ,23,2014,January,1,1,Wednesday ,23,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,156,Bendale-Glen Andrew,127,Bendale (127),-79.2591698455305,43.7784380272832
-79.4143808059999,43.775150846,3,GO-20141267602,2014/01/02 05:00:00+00,2013/12/24 05:00:00+00,2014,January,2,2,Thursday  ,23,2013,December,24,358,Tuesday   ,2,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,151,Yonge-Doris,51,Willowdale East (51),-79.4143808062986,43.7751508461291
-79.342166516,43.666153066,4,GO-20141269604,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,19,2014,January,2,2,Thursday  ,18,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.3421665159189,43.6661530657298
-79.3437191359999,43.775828505,5,GO-20141270156,2014/01/02 05:00:00+00,2014/01/02 05:00:00+00,2014,January,2,2,Thursday  ,20,2014,January,2,2,Thursday  ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.3437191362443,43.7758285046409
-79.419963587,43.6541160720001,6,GO-20141275836,2014/01/03 05:00:00+00,2013/12/31 05:00:00+00,2014,January,3,3,Friday    ,18,2013,December,31,365,Tuesday   ,11,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.4199635872437,43.6541160717457
-79.382421108,43.651754774,7,GO-20141274610,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,15,2014,January,3,3,Friday    ,14,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3824211080824,43.6517547739066
-79.3457948189999,43.703684304,8,GO-20141276966,2014/01/03 05:00:00+00,2014/01/03 05:00:00+00,2014,January,3,3,Friday    ,13,2014,January,3,3,Friday    ,12,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.3457948187012,43.7036843035894
-79.419963587,43.6541160720001,9,GO-20141277440,2014/01/04 05:00:00+00,2014/01/01 05:00:00+00,2014,January,4,4,Saturday  ,0,2014,January,1,1,Wednesday ,2,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.4199635872437,43.6541160717457
-79.2726349759999,43.806687149,10,GO-20141279197,2014/01/04 05:00:00+00,2014/01/03 05:00:00+00,2014,January,4,4,Saturday  ,9,2014,January,3,3,Friday    ,21,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,129,Agincourt North,129,Agincourt North (129),-79.2726349761011,43.8066871491319
