EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20141261431,85,South Parkdale,-79.442323077,43.6390010060001,THEFT UNDER,2014,January
GO-20141263784,80,Palmerston-Little Italy,-79.4146633989999,43.6605195290001,PROPERTY - FOUND,2014,January
GO-20141263544,165,Harbourfront-CityPlace,-79.396020971,43.6408938610001,B&E,2014,January
GO-20141266048,39,Bedford Park-Nortown,-79.42958887,43.7184155150001,THEFT UNDER,2014,January
GO-20141267465,78,Kensington-Chinatown,-79.4034868529999,43.649604056,THEFT UNDER,2014,January
GO-20149000071,71,Cabbagetown-South St.James Town,-79.3733359299999,43.666227581,THEFT UNDER,2014,January
GO-20149000074,168,Downtown Yonge East,-79.3731023509999,43.652257401,THEFT UNDER,2014,January
GO-20149000090,165,Harbourfront-CityPlace,-79.3939252069999,43.64273279,THEFT UNDER,2014,January
GO-20141272882,105,Lawrence Park North,-79.403758785,43.731125111,THEFT UNDER,2014,January
GO-20149000113,168,Downtown Yonge East,-79.375720837,43.6516945060001,THEFT UNDER,2014,January
GO-20141281947,167,Church-Wellesley,-79.3796107159999,43.6641713880001,THEFT UNDER,2014,January
GO-20149000137,106,Humewood-Cedarvale,-79.423386761,43.68593208,THEFT UNDER,2014,January
GO-20141285125,168,Downtown Yonge East,-79.3762881759999,43.659860974,THEFT UNDER,2014,January
GO-20141287666,56,Leaside-Bennington,-79.363052039,43.7058707050001,THEFT FROM MOTOR VEHICLE UNDER,2014,January
GO-20141291713,32,Englemount-Lawrence,-79.4371555389999,43.718587445,PROPERTY - LOST,2014,January
GO-20141293197,152,East Willowdale,-79.397574356,43.779309422,B&E,2014,January
GO-20141298500,70,South Riverdale,-79.340593445,43.662275816,THEFT UNDER,2014,January
GO-20141298201,164,Wellington Place,-79.401292542,43.6473498490001,THEFT UNDER,2014,January
GO-20141304072,70,South Riverdale,-79.3313067679999,43.661852599,B&E W'INTENT,2014,January
GO-20141305317,167,Church-Wellesley,-79.378955807,43.662516645,THEFT UNDER,2014,January
GO-20149000241,73,Moss Park,-79.355435606,43.6574682570001,THEFT UNDER - BICYCLE,2014,January
