HOOD_158,NEIGHBOURHOOD_158
43,Victoria Village
123,Cliffcrest
159,Etobicoke City Centre
9,Edenbridge-Humber Valley
2,Mount Olive-Silverstone-Jamestown
129,Agincourt North
60,Woodbine-Lumsden
25,Glenfield-Jane Heights
156,Bendale-Glen Andrew
54,O'Connor-Parkview
157,Bendale South
42,Banbury-Don Mills
152,East Willowdale
55,Thorncliffe Park
27,York University Heights
21,Humber Summit
39,Bedford Park-Nortown
153,Avondale
30,Brookhaven-Amesbury
108,Briar Hill-Belgravia
28,Rustic
90,Junction Area
110,Keelesdale-Eglinton West
6,Kingsview Village-The Westway
71,Cabbagetown-South St.James Town
119,Wexford/Maryvale
138,Eglinton East
143,West Rouge
126,Dorset Park
116,Steeles
49,Bayview Woods-Steeles
128,Agincourt South-Malvern West
150,Fenside-Parkwoods
22,Humbermede
50,Newtonbrook East
144,Morningside Heights
19,Long Branch
124,Kennedy Park
70,South Riverdale
47,Don Valley Village
1,West Humber-Clairville
81,Trinity-Bellwoods
61,Taylor-Massey
154,Oakdale-Beverley Heights
23,Pelmo Park-Humberlea
118,Tam O'Shanter-Sullivan
111,Rockcliffe-Smythe
72,Regent Park
31,Yorkdale-Glen Park
133,Centennial Scarborough
16,Stonegate-Queensway
121,Oakridge
164,Wellington Place
171,Junction-Wallace Emerson
48,Hillcrest Village
40,St.Andrew-Windfields
167,Church-Wellesley
102,Forest Hill North
106,Humewood-Cedarvale
18,New Toronto
113,Weston
120,Clairlea-Birchmount
34,Bathurst Manor
7,Willowridge-Martingrove-Richview
130,Milliken
158,Islington
92,Corso Italia-Davenport
78,Kensington-Chinatown
80,Palmerston-Little Italy
142,Woburn North
114,Lambton Baby Point
87,High Park-Swansea
91,Weston-Pelham Park
8,Humber Heights-Westmount
11,Eringate-Centennial-West Deane
41,Bridle Path-Sunnybrook-York Mills
155,Downsview
134,Highland Creek
62,East End-Danforth
115,Mount Dennis
105,Lawrence Park North
74,North St.James Town
148,East L'Amoreaux
35,Westminster-Branson
56,Leaside-Bennington
163,Fort York-Liberty Village
86,Roncesvalles
136,West Hill
38,Lansing-Westgate
165,Harbourfront-CityPlace
168,Downtown Yonge East
96,Casa Loma
147,L'Amoreaux West
172,Dovercourt Village
145,Malvern West
85,South Parkdale
3,Thistletown-Beaumond Heights
52,Bayview Village
33,Clanton Park
36,Newtonbrook West
10,Princess-Rosethorn
13,Etobicoke West Mall
83,Dufferin Grove
162,West Queen West
135,Morningside
29,Maple Leaf
44,Flemingdon Park
84,Little Portugal
125,Ionview
170,Yonge-Bay Corridor
32,Englemount-Lawrence
89,Runnymede-Bloor West Village
15,Kingsway South
67,Playter Estates-Danforth
139,Scarborough Village
73,Moss Park
160,Mimico-Queensway
4,Rexdale-Kipling
103,Lawrence Park South
5,Elms-Old Rexdale
95,Annex
146,Malvern East
151,Yonge-Doris
12,Markland Wood
68,North Riverdale
65,Greenwood-Coxwell
20,Alderwood
24,Black Creek
46,Pleasant View
141,Golfdale-Cedarbrae-Woburn
79,University
100,Yonge-Eglinton
53,Henry Farm
112,Beechborough-Greenbrook
109,Caledonia-Fairbank
169,Bay-Cloverhill
107,Oakwood Village
99,Mount Pleasant East
88,High Park North
173,North Toronto
149,Parkwoods-O'Connor Hills
161,Humber Bay Shores
97,Yonge-St.Clair
174,South Eglinton-Davisville
166,St Lawrence-East Bayfront-The Islands
69,Blake-Jones
122,Birchcliffe-Cliffside
58,Old East York
59,Danforth East York
63,The Beaches
140,Guildwood
101,Forest Hill South
64,Woodbine Corridor
98,Rosedale-Moore Park
66,Danforth
37,Willowdale West
57,Broadview North
94,Wychwood
