EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141260912,164,Wellington Place,-79.40199817,43.6476071210001,2014,January,Robbery With Weapon,Robbery
GO-20141262644,113,Weston,-79.51619757,43.700151975,2014,January,Robbery - Purse Snatch,Robbery
GO-20141262818,167,Church-Wellesley,-79.384154027,43.6638977700001,2014,January,Robbery - Business,Robbery
GO-20141266749,120,Clairlea-Birchmount,-79.298603848,43.7228557390001,2014,January,Robbery With Weapon,Robbery
GO-20141265410,119,Wexford/Maryvale,-79.302262582,43.769472383,2014,January,Robbery - Mugging,Robbery
GO-20141270022,47,Don Valley Village,-79.3437191359999,43.775828505,2014,January,Robbery - Purse Snatch,Robbery
GO-20141269818,146,Malvern East,-79.216861466,43.8038748290001,2014,January,Robbery - Swarming,Robbery
GO-20141272785,143,West Rouge,-79.140913127,43.78965415,2014,January,Robbery - Financial Institute,Robbery
GO-20141272968,1,West Humber-Clairville,-79.6007367879999,43.7318266240001,2014,January,Robbery - Mugging,Robbery
GO-20141274457,158,Islington,-79.531393771,43.645842486,2014,January,Robbery - Business,Robbery
GO-20141282929,162,West Queen West,-79.41501521,43.64143095,2014,January,Robbery - Business,Robbery
GO-20141279791,74,North St.James Town,-79.373774283,43.6672891530001,2014,January,Robbery - Other,Robbery
GO-20141283284,70,South Riverdale,-79.345191964,43.6670888370001,2014,January,Robbery With Weapon,Robbery
GO-20141283751,25,Glenfield-Jane Heights,-79.5132172799999,43.7393831790001,2014,January,Robbery - Swarming,Robbery
GO-20141285128,91,Weston-Pelham Park,-79.463046537,43.673529855,2014,January,Robbery - Mugging,Robbery
GO-20141287319,95,Annex,-79.3954319489999,43.671895229,2014,January,Robbery With Weapon,Robbery
GO-20141286851,62,East End-Danforth,-79.2992589199999,43.6892702210001,2014,January,Robbery - Other,Robbery
GO-20141284356,156,Bendale-Glen Andrew,-79.261218614,43.7700829140001,2014,January,Robbery - Business,Robbery
GO-20141284342,142,Woburn North,-79.225321078,43.759816549,2014,January,Robbery - Business,Robbery
GO-20141284336,100,Yonge-Eglinton,-79.4008354219999,43.7077541460001,2014,January,Robbery With Weapon,Robbery
GO-20141283755,74,North St.James Town,-79.376850658,43.672352376,2014,January,Robbery - Other,Robbery
GO-20141289817,135,Morningside,-79.2049723489999,43.7825951350001,2014,January,Robbery With Weapon,Robbery
GO-20141290519,122,Birchcliffe-Cliffside,-79.2543315569999,43.6991245460001,2014,January,Robbery - Other,Robbery
GO-20141291852,141,Golfdale-Cedarbrae-Woburn,-79.226925695,43.755704538,2014,January,Robbery - Other,Robbery
GO-20141294777,73,Moss Park,-79.373561549,43.6609365150001,2014,January,Robbery - Mugging,Robbery
GO-20141294004,85,South Parkdale,-79.4334392059999,43.6381627470001,2014,January,Robbery - Mugging,Robbery
GO-20141294127,168,Downtown Yonge East,-79.373917392,43.653961757,2014,January,Robbery - Mugging,Robbery
GO-20141293808,154,Oakdale-Beverley Heights,-79.508630629,43.720909181,2014,January,Robbery With Weapon,Robbery
GO-20141292722,80,Palmerston-Little Italy,-79.408956304,43.6562238000001,2014,January,Robbery - Other,Robbery
GO-20141289469,27,York University Heights,-79.503385447,43.7697833570001,2014,January,Robbery - Mugging,Robbery
GO-20141299614,27,York University Heights,-79.498186658,43.7654725470001,2014,January,Robbery - Mugging,Robbery
GO-20141298098,66,Danforth,-79.3232260519999,43.6838945810001,2014,January,Robbery - Financial Institute,Robbery
GO-20141299553,24,Black Creek,-79.517771268,43.7590098270001,2014,January,Robbery - Swarming,Robbery
GO-20141299524,120,Clairlea-Birchmount,-79.287259133,43.715588016,2014,January,Robbery - Mugging,Robbery
GO-20141299927,154,Oakdale-Beverley Heights,-79.510422379,43.7247661370001,2014,January,Robbery With Weapon,Robbery
GO-20141299864,139,Scarborough Village,-79.218310536,43.7452987070001,2014,January,Robbery - Mugging,Robbery
GO-20141300658,48,Hillcrest Village,-79.364542896,43.791987401,2014,January,Robbery - Mugging,Robbery
GO-20141300293,8,Humber Heights-Westmount,-79.5200626,43.6920569530001,2014,January,Robbery With Weapon,Robbery
GO-20141300141,140,Guildwood,-79.187217931,43.7532566560001,2014,January,Robbery - Mugging,Robbery
GO-20141299510,156,Bendale-Glen Andrew,-79.259169846,43.778438027,2014,January,Robbery - Other,Robbery
GO-20141299798,138,Eglinton East,-79.245057787,43.7432240620001,2014,January,Robbery - Mugging,Robbery
GO-20141307180,148,East L'Amoreaux,-79.29371065,43.795766229,2014,January,Robbery - Business,Robbery
GO-20141303385,50,Newtonbrook East,-79.414929114,43.77990278,2014,January,Robbery - Financial Institute,Robbery
GO-20141303582,72,Regent Park,-79.363542503,43.661368076,2014,January,Robbery - Mugging,Robbery
GO-20141305624,16,Stonegate-Queensway,-79.490599424,43.6382659080001,2014,January,Robbery - Other,Robbery
GO-20141304385,7,Willowridge-Martingrove-Richview,-79.5308541329999,43.6918629680001,2014,January,Robbery - Swarming,Robbery
GO-20141307425,47,Don Valley Village,-79.357297843,43.7816543910001,2014,January,Robbery With Weapon,Robbery
GO-20141307151,32,Englemount-Lawrence,-79.438384178,43.7309109450001,2014,January,Robbery - Mugging,Robbery
GO-20141304684,167,Church-Wellesley,-79.383712401,43.664513689,2014,January,Robbery - Other,Robbery
GO-20141305026,134,Highland Creek,-79.194352798,43.789271248,2014,January,Robbery - Swarming,Robbery
GO-20141312522,155,Downsview,-79.482065958,43.726636141,2014,January,Robbery - Mugging,Robbery
