EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH
GO-2004397105,142,Woburn North,-79.234955264,43.78152799,2004,May
GO-2004600109,1,West Humber-Clairville,-79.618218188,43.733546887,2004,July
GO-2004311851,24,Black Creek,-79.518758927,43.769157185,2004,May
GO-2004736004,168,Downtown Yonge East,-79.3788697969999,43.660664733,2004,December
GO-2004303455,146,Malvern East,-79.2124350729999,43.8120751340001,2004,April
GO-2004213938,150,Fenside-Parkwoods,-79.318703812,43.759918955,2004,March
GO-2004149554,144,Morningside Heights,-79.197132294,43.7967633100001,2004,January
GO-2004646393,2,Mount Olive-Silverstone-Jamestown,-79.588530399,43.7386883240001,2004,September
GO-2004764704,85,South Parkdale,-79.427371138,43.638954287,2004,April
GO-2004619258,150,Fenside-Parkwoods,-79.3352992069999,43.7625832430001,2004,October
GO-2004696934,2,Mount Olive-Silverstone-Jamestown,-79.589902821,43.7388022800001,2004,November
GO-2004695551,113,Weston,-79.5078755019999,43.6964054750001,2004,October
GO-2004811677,124,Kennedy Park,-79.2565133159999,43.7307406740001,2004,December
GO-2004641880,111,Rockcliffe-Smythe,-79.4871701549999,43.672703707,2004,August
GO-2004374867,72,Regent Park,-79.362998009,43.6600810690001,2004,May
GO-2004187244,126,Dorset Park,-79.2726264149999,43.765461843,2004,February
GO-2004339280,136,West Hill,-79.193291643,43.7632032660001,2004,April
GO-2004715205,2,Mount Olive-Silverstone-Jamestown,-79.585612998,43.751010428,2004,November
GO-2004597291,113,Weston,-79.527128869,43.7043084750001,2004,August
GO-2004649788,168,Downtown Yonge East,-79.373917392,43.653961757,2004,September
GO-2004224089,5,Elms-Old Rexdale,-79.553876255,43.718054222,2004,March
GO-2004491397,118,Tam O'Shanter-Sullivan,-79.299344595,43.7835887050001,2004,November
GO-2004251775,141,Golfdale-Cedarbrae-Woburn,-79.224706016,43.7578348480001,2004,March
GO-2004149400,146,Malvern East,-79.210600992,43.7974145800001,2004,January
GO-2004250857,5,Elms-Old Rexdale,-79.550561332,43.7250906940001,2004,April
GO-2004350484,2,Mount Olive-Silverstone-Jamestown,-79.579283749,43.7352348920001,2004,May
GO-2004518544,28,Rustic,-79.507743315,43.717372068,2004,June
GO-2004773793,148,East L'Amoreaux,-79.311658064,43.795977141,2004,December
GO-2004125755,142,Woburn North,-79.2338871489999,43.7817405380001,2004,January
GO-2004315641,24,Black Creek,-79.514763739,43.76720514,2004,April
GO-2004301868,58,Old East York,-79.329337133,43.697376428,2004,May
GO-2004637474,170,Yonge-Bay Corridor,-79.3830259379999,43.646598915,2004,August
GO-2004482932,73,Moss Park,-79.3672002759999,43.6550088760001,2004,May
GO-2004232446,124,Kennedy Park,-79.2565133159999,43.7307406740001,2004,March
GO-2004153036,148,East L'Amoreaux,-79.302433735,43.797212825,2004,January
GO-2004497549,148,East L'Amoreaux,-79.302433735,43.797212825,2004,September
