EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141264862,156,Bendale-Glen Andrew,-79.259169846,43.778438027,2014,January,Theft Over,Theft Over
GO-20141267602,151,Yonge-Doris,-79.4143808059999,43.775150846,2014,January,Theft Over,Theft Over
GO-20141269604,70,South Riverdale,-79.342166516,43.666153066,2014,January,Theft Over,Theft Over
GO-20141270156,47,Don Valley Village,-79.3437191359999,43.775828505,2014,January,Theft Over,Theft Over
GO-20141275836,81,Trinity-Bellwoods,-79.419963587,43.6541160720001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141274610,170,Yonge-Bay Corridor,-79.382421108,43.651754774,2014,January,Theft Over,Theft Over
GO-20141276966,55,Thorncliffe Park,-79.3457948189999,43.703684304,2014,January,Theft Over,Theft Over
GO-20141277440,81,Trinity-Bellwoods,-79.419963587,43.6541160720001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141279197,129,Agincourt North,-79.2726349759999,43.806687149,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141284673,150,Fenside-Parkwoods,-79.333165556,43.76043271,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141293398,16,Stonegate-Queensway,-79.502476079,43.6259768950001,2014,January,Theft Over,Theft Over
GO-20141301110,150,Fenside-Parkwoods,-79.333165556,43.76043271,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141306704,56,Leaside-Bennington,-79.359821411,43.714597822,2014,January,Theft Over,Theft Over
GO-20141302953,1,West Humber-Clairville,-79.5883158189999,43.6787150120001,2014,January,Theft Over,Theft Over
GO-20141309789,56,Leaside-Bennington,-79.368269068,43.7156970440001,2014,January,Theft Over,Theft Over
GO-20141310140,70,South Riverdale,-79.330973415,43.6712993560001,2014,January,Theft Over,Theft Over
GO-20141303907,1,West Humber-Clairville,-79.58436434,43.677376102,2014,January,Theft Over,Theft Over
GO-20141312296,1,West Humber-Clairville,-79.5883969179999,43.7026179850001,2014,January,Theft Over,Theft Over
GO-20141309782,22,Humbermede,-79.531463055,43.7496546560001,2014,January,Theft Over,Theft Over
GO-20141315465,78,Kensington-Chinatown,-79.3998671689999,43.652545145,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141335936,47,Don Valley Village,-79.359494882,43.7733364370001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141318041,167,Church-Wellesley,-79.3807192629999,43.6635544370001,2014,January,Theft Over,Theft Over
GO-20141326157,163,Fort York-Liberty Village,-79.414242568,43.6394308320001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141331086,40,St.Andrew-Windfields,-79.398292307,43.750926593,2014,January,Theft Over,Theft Over
GO-20141336659,40,St.Andrew-Windfields,-79.360410789,43.754842678,2014,January,Theft Over,Theft Over
GO-20141342156,53,Henry Farm,-79.349035737,43.768372309,2014,January,Theft Over,Theft Over
GO-20141341993,10,Princess-Rosethorn,-79.557610551,43.675482399,2014,January,Theft Over - Shoplifting,Theft Over
GO-20141343665,166,St Lawrence-East Bayfront-The Islands,-79.380577495,43.646414592,2014,January,Theft Over,Theft Over
GO-20141340474,72,Regent Park,-79.362998009,43.6600810690001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141338731,78,Kensington-Chinatown,-79.397446424,43.6535723050001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141343564,170,Yonge-Bay Corridor,-79.385552557,43.648862824,2014,January,Theft Over,Theft Over
GO-20141340641,88,High Park North,-79.4751783469999,43.6576262300001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141382719,6,Kingsview Village-The Westway,-79.552915431,43.6862155430001,2014,January,Theft Over,Theft Over
GO-20141350542,16,Stonegate-Queensway,-79.502628584,43.6263300900001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141347372,88,High Park North,-79.46156423,43.661509627,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141347424,9,Edenbridge-Humber Valley,-79.524618703,43.677706761,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141359688,159,Etobicoke City Centre,-79.5332328649999,43.624153397,2014,January,Theft Over,Theft Over
GO-20141364302,65,Greenwood-Coxwell,-79.324620736,43.6648971180001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141360646,54,O'Connor-Parkview,-79.3118680009999,43.705611999,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141364249,109,Caledonia-Fairbank,-79.46125276,43.6906617130001,2014,January,Theft Over,Theft Over
GO-20141362315,169,Bay-Cloverhill,-79.385928265,43.6668939420001,2014,January,Theft Over,Theft Over
GO-20141366736,40,St.Andrew-Windfields,-79.4022207899999,43.747257781,2014,January,Theft Over,Theft Over
GO-20141367464,160,Mimico-Queensway,-79.499700433,43.613125279,2014,January,Theft Over,Theft Over
GO-20141368890,138,Eglinton East,-79.246160663,43.7370911670001,2014,January,Theft Over - Shoplifting,Theft Over
GO-20141372418,21,Humber Summit,-79.559507378,43.7507346570001,2014,January,Theft From Mail / Bag / Key,Theft Over
GO-20141371719,140,Guildwood,-79.1916466919999,43.7548708400001,2014,January,Theft Over,Theft Over
GO-20141370340,174,South Eglinton-Davisville,-79.396825642,43.7070529900001,2014,January,Theft Over,Theft Over
GO-20141377375,112,Beechborough-Greenbrook,-79.468532682,43.6964851930001,2014,January,Theft Over,Theft Over
GO-20141380686,170,Yonge-Bay Corridor,-79.383574939,43.647918186,2014,January,Theft Over,Theft Over
GO-20141377896,63,The Beaches,-79.2852321089999,43.673111487,2014,January,Theft Over,Theft Over
GO-20141380597,154,Oakdale-Beverley Heights,-79.513346059,43.7219809650001,2014,January,Theft Over,Theft Over
GO-20141382896,83,Dufferin Grove,-79.436601133,43.6557476510001,2014,January,Theft Over - Shoplifting,Theft Over
GO-20141389838,4,Rexdale-Kipling,-79.572673859,43.7241245930001,2014,January,Theft Over,Theft Over
GO-20141395847,39,Bedford Park-Nortown,-79.4241048549999,43.7322019550001,2014,January,Theft Over,Theft Over
GO-20141396198,3,Thistletown-Beaumond Heights,-79.558400852,43.7360928360001,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141397979,170,Yonge-Bay Corridor,-79.38212731,43.6496085360001,2014,January,Theft Over,Theft Over
GO-20141397728,95,Annex,-79.3941377689999,43.668714089,2014,January,Theft Over,Theft Over
GO-20141401067,42,Banbury-Don Mills,-79.351743019,43.7512945340001,2014,January,Theft Over,Theft Over
